comp_id,salary,job_req,job_id,salary_min,comp_detail,job_desp,experience,salary_max,comp_name,address,education,job_title
https://www.liepin.com/company/182339/,23-38万,"
本科及以上 3年以上经验
语言不限 年龄不限
",https://www.liepin.com/job/1910030651.shtml,23,,"职责描述：1、服务策略研发：不定期进行专题分析，包括对酒店群、用户群、酒店服务的分析等，研发酒店提升客户服务策略并评效，提升平台转化率和客户体验，并改善收益。2、数据挖掘：根据业务需要，进行数据挖掘，建立模型并推动落地，提升业绩。3、数据化运营：跟踪日常业务指标，分析并定位问题，优化业务流程，对业绩指标负责。任职要求：1、 理工科专业，数学、统计、计算机相关专业优先； 2、 熟悉常用的机器学习算法，如随机森林、xgboost、聚类等算法；3、 至少掌握一门编程语言，C/C++/Python/Java/R/Scala均可；4、 熟悉SQL、hive、hadoop、Spark等数据库查询及分析工具；5、 逻辑清晰，对数字敏感；6、 最重要的，责任心强，积极主动，有主人翁精神，好学，有持续学习的习惯；7、 研究生相关工作经验2-4年，本科相关工作经验4-6年。
",3年以上经验,38,携程,公司地址：上海市长宁区金钟路968号凌空SOHO,本科及以上,大数据分析挖掘/机器学习工程师
https://www.liepin.com/company/9310607/,12-14万,"
本科及以上 2年以上经验
语言不限 年龄不限
",https://www.liepin.com/job/1910721513.shtml,12,,"岗位职责如下：1.负责业务数据收集整理，对多种数据源进行深度诊断性组合分析、挖掘、深度分析和建模，对相关数据进行挖掘分析2. 负责项目的需求调研、数据分析和数据挖掘模型，通过对用户的行为进行分析了解用户需求3. 参与数据挖掘模型的构建、维护、部署和评估4、负责项目系统安装，调试，维护，系统日常监控、数据备份、恢复、数据迁移、数据一致性等5、数据库性能监控和调优并主导应用系统的数据库性能优化、故障诊断6、数据备份/恢复计划的制定、执行7、系统数据安全以及权限管理任职要求：1、具备本科及以上学历，两年及以上工作经验；负责数据库系统部署方案的计划、设计和实施；2、参与数据库设计，指导其他设计人员做数据库设计与开发，并能对数据库整体架构提出建议；3、对客户进行远程和现场的技术支持，解决客户遇到的各类技术问题4、负责参与SQL存储过程、函数编写等数据库应用开发并配合研发人员提升运行性能5、数据库设计文档的编写和维护，制订相关技术规范6、提供内部技术支持、培训等。
                            ",2年以上经验,14,上海捷安数据科技有限公司,公司地址：浦东新区陆家嘴东园路18号中国金融信息中心,本科及以上,资深数据分析师
https://www.liepin.com/company/9169018/,24-48万,"
本科及以上 5年以上经验
语言不限 年龄不限
",https://www.liepin.com/job/1910799261.shtml,24,,"参与建立和完善稽核和操作风险管理体系、制度及流程，针对不同风险特点提出解决方案，负责全国项目和风险管理部自身的稽核管理工作，提高公司整体的业务操作的标准化和流程化。职位描述 1、参与消费金融业务流程的设计,授信政策的制定和调整,在把 控风险的同时优化前端客户体验; 2、承担数据分析和风险模型的开发,包括但不限于信用评分模 型、行为评分模型、逾期催收模型等; 3、搭建消费金融数据分析平台; 职位要求 1、本科以上学历,五年以上数据挖掘分析业务相关工作经验; 2、熟练运用SAS或R等统计分析软件,熟悉逻辑回归,决策树, 神经网络等算法,具备数据挖掘相关项目的工作经验; 3、关注消费金融、互联网金融,具有很强的学习研究能力; 4、对新技术有浓厚的兴趣,乐于接受挑战; 
",5年以上经验,48,即科金融信息服务(上海)有限公司(分支机构),公司地址：淞沪路619号中航天盛广场A座1701-1702室,本科及以上,数据分析总监
https://www.liepin.com/company/9262155/,24-36万,"
本科及以上 5年以上经验
普通话 年龄不限
",https://www.liepin.com/job/199347851.shtml,24,,"岗位职责：1、和技术部门协同，负责构建公司数据分析与数据挖掘业务分析体；2、负责对数据库信息进行深度挖掘和有效利用，充分实现数据的商业价值；3、跟踪并分析用户行为，为公司运营决策及产品设计进行数据支持；4、监测平台各运营环节的效率和效果，对运营流程提出建议；5、用户行为分析，平台量化数据的建设；6、进行行业、竞对研究，为业务决策提供支持；7、能开发常用的数据分析程序。岗位要求：1、数学、统计或计算机相关专业本科及以上学历；2、熟悉至少一种关系型数据库，熟悉文件系统原理更佳；3、BI数据平台的设计和开发，数据可视化的开发，数据清理（ETL），熟悉mysql,Hadoop平台，有相关实践经验；4、5年以上开发经验，1年以上管理经验，偏向中大型平台背景，有数据挖掘背景是plus。
                            ",5年以上经验,36,挚享科技(上海)有限公司关联公司,公司地址：星游城,本科及以上,BI经理
,35-65万,"
本科及以上
3年以上经验
语言不限
22-36岁
",https://www.liepin.com/a/10106666.shtml,35,,"
               岗位职责：（不同方向职责不同）1、通过数据影响和改变业务方，推动业务部门的数据化运营； 2 独立完成数据挖掘、行为分析、风险分析、评分体系建模工作； 3 负责独立的项目，协调数据、技术、产品、市场、运营等各项资源，达成业务结果； 岗位要求：（不同方向要求不同）1、3年/5年以上相关工作经历，统计、数学、信息技术、或其他相关本科以上学历； 2、熟悉数据库技术，熟练运用SQL，有大型数据仓库的实践经验； 3、具备商业分析/数据仓库/数据挖掘等相关产品的使用经验； 4、具有较好的数学建模和逻辑分析能力和系统分析能力，有BI产品规划设计经验者优先；5、有丰富的数据清洗、分析、挖掘的经验，熟悉常用的数据挖掘方法论 6、良好的数据敏感度，能从海量数据提炼核心结果，并用简洁而清晰的方式呈现数据分析背后的商业逻辑和相关洞察；有出色的结构化思维能力 
            ",3年以上经验,65,,,本科及以上,数据岗-数据分析、数据产品、挖掘建模、BI
,60-90万,"
统招本科
3年以上经验
语言不限
25-35岁
",https://www.liepin.com/a/10128572.shtml,60,,"
               岗位描述1. 全面了解电商和互联网金融行业数据，通过大数据挖掘技术研究个人用户本质属性，研发高质量信用评分模型和反欺诈模型产品； 2. 协同产品运营和业务团队全面推进信用数据产品在实际业务场景中的应用，主动获取各方反馈并持续完善产品，优化性能； 3. 运用大数据相关技术和技能，发现并且评估数据在征信领域的价值和应用方向，和各个相关团队沟通协作，制定并且执行数据引入，完善和应用的具体策略； 4. 协同其他团队采集整合信用相关数据，持续建立并完善个人用户信用数据集市；对数据采集应用中的实际问题有深入的了解，对数据有洞察力； 5. 应用先进的统计建模，数据挖掘，机器学习方法解决实际问题，并研发创新方法以解决常规方法不能解决的问题。岗位要求1. 硕士以上学历，统计学，数学，计算机等相关专业，较好的数学或统计学教育背景优先考虑； 2. 5年以上数据分析/模型开发经验，具有较强的数据整合，数据分析/挖掘，和解决业务问题的能力； 3. 熟练使用SQL，SAS，R、python等数据库和统计分析软件进行数据分析和模型开发； 4. 良好的沟通协调能力和大局意识，能够快速推动工作执行落地； 5. 具有金融行业或征信机构工作经验者优先考虑。岗位职责：1、根据项目需要，进行数据分析及数据模型设计，包括审批评分模型、行为评分模型、催收评分模型、反欺诈预测模型、客户价值模型、风险定价模型等。2、带领项目团队开展数据建模咨询工作，包括相关的调研、访谈等；3、根据项目需求，指导数据标准通过数据模型落地，与源数据系统对接等；4、配合产品分析、信用政策与流程、贷后与催收管理组完成各项深层次分析并提供风险建议；岗位要求:1. 全日制应用统计/数学/计算机专业等相关专业，本科或以上学历2. 3年以上工作经验，参与过消费金融/小微企业模型评分或信用卡信用评分等模型的开发和上线部署；3. 掌握SAS/Python/R/Scala语言中的一种，熟悉hadoop/spark体系；4. 熟悉统计理论和数据挖掘算法，包括逻辑回归，决策数，随机森林等;5. 富有大胆创新精神，对各类大数据新技术有浓厚的兴趣并勇于探索，对机器学习、区块链等新时代技术有一定的了解;6. 善于沟通，逻辑清晰,正确的工作态度和职业观念。
            ",3年以上经验,90,,,统招本科,数据分析/挖掘/建模
,30-50万,"
硕士及以上
4年以上经验
语言不限
24-35岁
",https://www.liepin.com/a/9817768.shtml,30,,"
               工作职责：1、构建理财社区业务分析、产品/运营数据服务的指标和分析体系；  2、跟踪业务经营状况，揭示变化原因，及时发现和分析业务中隐含的变化和问题，给出决策参考和行动建议。任职资格：1、针对数据服务需求，能够挖掘用户痛点，找出解决方案并跟进后续效果；负责任，善于合作，长于沟通，有创新能力，技术与业务的结合有较强的敏感性；  2、在数据分析与挖掘方面有扎实功底，熟练掌握SQL、R、python语言；  3、熟悉数据仓库模型设计与ETL开发经验 ，掌握常用数据建模设计方法，具备海量数据加工处理相关经验；  4、计算机、数学、统计学或相关专业，硕士以上学历。
            ",4年以上经验,50,,,硕士及以上,资深数据分析与挖掘工程师
,90-120万,"
学历不限
3年以上经验
语言不限
23-40岁
",https://www.liepin.com/a/9664206.shtml,90,,"
               岗位职责：1、分析和挖掘公司业务的优化机会，构建相应的数据体系与数据模型，提升整体的运作效率和降低成本。 2、深入业务，理解业务运作逻辑，利用数据分析手段，发现业务瓶颈并提出行动建议 。3、对业务运营和相关系统进行数据监测、分析、统计，持续改进系统与运营效果 。4、优化和完善数据分析体系，包括KPI指标体系、报表体系、专题分析体系等。?任职要求：1、计算机、数学或统计学专业本科及以上学历，有3年以上数据分析相关工作经验。2、良好的数据敏感度，有丰富的大规模数据处理、清洗、分析挖掘和建模经验。3、熟悉和应用过常用的数据分析建模，数据挖掘、机器学习算法，如：聚类分析，关联规则，决策树，回归分析，时间序列等。4、精通SQL，有HADOOP，SPARK平台分析经验优先。5、精通SPSS、SAS、R、Python或其它专业的数据分析和数据挖掘工具。5、优秀的学习能力和沟通表达能力，能够快速熟悉业务。
",3年以上经验,120,,,学历不限,数据分析挖掘师
,36-65万,"
本科及以上
4年以上经验
语言不限
27-35岁
",https://www.liepin.com/a/9308277.shtml,36,,"
               数据分析师岗位描述：1、深入理解行业运作模式，利用多种分析手段，发现商业问题与机会，并能给出有效的行动建议，推进其在业务运作中的改进； 2、结合业务发展不同阶段的需要，配合算法、开发和产品团队建立监控、分析、预测模型，为公司客户管理、产品运营、业务发展等提供决策支持； 3、通过数据报告、产品、模型成果多种输出手段，影响业务方决策，推动业务部门的数据化运营； 4、领导分析团队与业务方、产品和技术部门形成紧密合作，基于公司战略规划的需要安排优先级，整合多方资源共同推动业务拿到结果。岗位要求：1. 三年以上数据分析经验（必须），并对行业分析、用户分析、流量分析等有深刻见解； 2. 数字敏感性强，数学功底扎实，熟知常用数据挖掘模型； 3. 主动、积极、善于沟通、学习能力强； 4. 精通SQL、Excel、SPSS等。数据挖掘工程师岗位描述：1、负责数据安全体系的搭建和策略设计，包括数据分析、规则模型的设计以及效果评估 2、针对访问流量进行深度数据挖掘，提升数据安全的策略的准确性和识别率 3、对行业数据进行挖掘学习，产出具有行业通用性的增值数据服务岗位要求：1、 精通数据挖掘、机器学习等基础方法与算法。 2、 对常用的数据模型有深入的理解，能够对现实问题进行抽象并和模型匹配。 3、 至少熟练掌握1-2种编程语言，具备良好的工程实现基础，能够对实现的算法和模型进行工程落地。 4、 有良好的解决问题能力，具备创新突破精神，能独立领导跨部门复杂项目，或能同时主导多个项目并行及落地
            ",4年以上经验,65,,,本科及以上,数据分析、挖掘工程师
https://www.liepin.com/company/7867330/,面议,"
统招本科 2年以上经验
普通话 年龄不限
",https://www.liepin.com/job/199173746.shtml,,,"职位描述1. 对用户行为进行建模，发现用户潜在意图和行为模式;2. 产品内关键算法设计，如推荐算法，状态识别等；3. 撰写分析报告为产品提供优化和运营建议；职位要求1. 数学，计算机本科及以上学历；2. 具有数据挖掘经验，能独立完成建模，具备实现算法的能力；3. 精通数据挖掘项目的流程及思路，精通常用的数据挖掘算法和模型，具有一定改进算法的能力；4. 具有互联网产品挖掘经验者优先；5. 本科学历2年以上相关经历，硕士学历1年以上相关经历；
                            ",2年以上经验,,钦文信息科技,公司地址：上海市浦东新区博云路2号浦软大厦五楼东区,统招本科,数据分析工程师
